Time [s],Packet ID,MOSI,MISO
6.3330187500,62,0x00,0x01
6.3330310313,63,0x02,0xAC
6.3330376563,63,0xFF,0xAC
6.3330442813,63,0xFF,0xAC
7.3335443437,64,0xC0,0xAC
7.3335509375,64,0x00,0x2C
7.3335630625,65,0x08,0xAC
7.3335696875,65,0x02,0xAC
7.3335763125,65,0x01,0xAC
7.3335829375,65,0x02,0xAC
7.3335895625,65,0x01,0xAC
7.3335961875,65,0x00,0xAC
7.3336028125,65,0x00,0xAC
7.3336094375,65,0x00,0xAC
7.3336160625,65,0x00,0xAC
7.3336325938,66,0xC0,0xAC
7.3336391875,66,0x00,0x2C
7.3336505000,67,0x8C,0xAC
7.3336571250,67,0x00,0xAC
7.3336637500,67,0x08,0xAC
7.3336703750,67,0x00,0xAC
7.3336770000,67,0x17,0xAC
7.3336836250,67,0x01,0xAC
7.3336902500,67,0x00,0xAC
7.3337147187,68,0xC0,0xA2
7.3337213125,68,0x00,0x22
7.3337325625,69,0x0E,0xA2
7.3337391875,69,0x00,0xA2
7.3337458125,69,0x48,0xA2
7.3337524375,69,0x65,0xA2
7.3337590625,69,0x6C,0xA2
7.3337656875,69,0x6C,0xA2
7.3337723125,69,0x6F,0xA2
7.3337789375,69,0x20,0xA2
7.3337855625,69,0x77,0xA2
7.3337921875,69,0x6F,0xA2
7.3337988125,69,0x72,0xA2
7.3338054375,69,0x6C,0xA2
7.3338120625,69,0x64,0xA2
7.3338186875,69,0x20,0xA2
7.3338253125,69,0x6E,0xA2
7.3338319375,69,0x75,0xA2
7.3338385625,69,0x6D,0xA2
7.3338451875,69,0x62,0xA2
7.3338518125,69,0x65,0xA2
7.3338584375,69,0x72,0xA2
7.3338650625,69,0x20,0xA2
7.3338716875,69,0x30,0xA2
7.3338783125,69,0x2E,0xA2
7.3338849375,69,0x30,0xA2
7.3338915625,69,0x36,0xA2
7.3339040313,70,0x83,0xA2
7.3339106562,70,0x00,0xA2
7.3339172812,70,0x00,0xA2
7.3339239062,70,0x00,0xA2
7.4080095000,71,0x12,0xAC
7.4080160937,71,0x00,0xAC
7.4080235312,71,0x00,0x00
7.4080301562,71,0x00,0x01
7.4080424375,72,0x02,0xAC
7.4080490625,72,0xFF,0xAC
7.4080556875,72,0xFF,0xAC
8.4085779062,73,0xC0,0xAC
8.4085845312,73,0x00,0x2C
8.4085966562,74,0x08,0xAC
8.4086032500,74,0x02,0xAC
8.4086098750,74,0x01,0xAC
8.4086165000,74,0x02,0xAC
8.4086231250,74,0x01,0xAC
8.4086297500,74,0x00,0xAC
8.4086363750,74,0x00,0xAC
8.4086430000,74,0x00,0xAC
8.4086496250,74,0x00,0xAC
8.4086668750,75,0xC0,0xAC
8.4086734688,75,0x00,0x2C
8.4086847500,76,0x8C,0xAC
8.4086913750,76,0x00,0xAC
8.4086980000,76,0x08,0xAC
8.4087046250,76,0x00,0xAC
8.4087112500,76,0x17,0xAC
8.4087178750,76,0x01,0xAC
8.4087245000,76,0x00,0xAC
8.4087466562,77,0xC0,0xA2
8.4087532500,77,0x00,0x22
8.4087645625,78,0x0E,0xA2
8.4087711562,78,0x00,0xA2
8.4087777812,78,0x48,0xA2
8.4087844062,78,0x65,0xA2
8.4087910312,78,0x6C,0xA2
8.4087976562,78,0x6C,0xA2
8.4088042812,78,0x6F,0xA2
8.4088109062,78,0x20,0xA2
8.4088175312,78,0x77,0xA2
8.4088241562,78,0x6F,0xA2
8.4088307812,78,0x72,0xA2
8.4088374063,78,0x6C,0xA2
8.4088440312,78,0x64,0xA2
8.4088506562,78,0x20,0xA2
8.4088572812,78,0x6E,0xA2
8.4088639062,78,0x75,0xA2
8.4088705312,78,0x6D,0xA2
8.4088771562,78,0x62,0xA2
8.4088837812,78,0x65,0xA2
8.4088904062,78,0x72,0xA2
8.4088970312,78,0x20,0xA2
8.4089036562,78,0x30,0xA2
8.4089102812,78,0x2E,0xA2
8.4089169063,78,0x30,0xA2
8.4089235312,78,0x37,0xA2
8.4089360000,79,0x83,0xA2
8.4089426250,79,0x00,0xA2
8.4089492500,79,0x00,0xA2
8.4089558750,79,0x00,0xA2
8.4830408437,80,0x12,0xAC
8.4830474375,80,0x00,0xAC
8.4830548750,80,0x00,0x00
8.4830615000,80,0x00,0x01
8.4830737500,81,0x02,0xAC
8.4830803437,81,0xFF,0xAC
8.4830869687,81,0xFF,0xAC
9.4835997187,82,0xC0,0xAC
9.4836063125,82,0x00,0x2C
9.4836183750,83,0x08,0xAC
9.4836250000,83,0x02,0xAC
9.4836316250,83,0x01,0xAC
9.4836382500,83,0x02,0xAC
9.4836448750,83,0x01,0xAC
9.4836515000,83,0x00,0xAC
9.4836581250,83,0x00,0xAC
9.4836647500,83,0x00,0xAC
9.4836713750,83,0x00,0xAC
9.4836880000,84,0xC0,0xAC
9.4836945937,84,0x00,0x2C
9.4837059062,85,0x8C,0xAC
9.4837125000,85,0x00,0xAC
9.4837191250,85,0x08,0xAC
9.4837257500,85,0x00,0xAC
9.4837323750,85,0x17,0xAC
9.4837390000,85,0x01,0xAC
9.4837456250,85,0x00,0xAC
9.4837701562,86,0xC0,0xA2
9.4837767500,86,0x00,0x22
9.4837880312,87,0x0E,0xA2
9.4837946562,87,0x00,0xA2
9.4838012812,87,0x48,0xA2
9.4838079062,87,0x65,0xA2
9.4838145312,87,0x6C,0xA2
9.4838211562,87,0x6C,0xA2
9.4838277812,87,0x6F,0xA2
9.4838344062,87,0x20,0xA2
9.4838410312,87,0x77,0xA2
9.4838476562,87,0x6F,0xA2
9.4838542812,87,0x72,0xA2
9.4838609062,87,0x6C,0xA2
9.4838675312,87,0x64,0xA2
9.4838741562,87,0x20,0xA2
9.4838807812,87,0x6E,0xA2
9.4838874062,87,0x75,0xA2
9.4838940312,87,0x6D,0xA2
9.4839006562,87,0x62,0xA2
9.4839072812,87,0x65,0xA2
9.4839139062,87,0x72,0xA2
9.4839205312,87,0x20,0xA2
9.4839271562,87,0x30,0xA2
9.4839337812,87,0x2E,0xA2
9.4839404062,87,0x30,0xA2
9.4839470312,87,0x38,0xA2
9.4839594375,88,0x83,0xA2
9.4839660312,88,0x00,0xA2
9.4839726562,88,0x00,0xA2
9.4839792812,88,0x00,0xA2
9.5580765000,89,0x12,0xAC
9.5580831250,89,0x00,0xAC
9.5580905312,89,0x00,0x00
9.5580971875,89,0x00,0x01
9.5581095000,90,0x02,0xAC
9.5581161250,90,0xFF,0xAC
9.5581227500,90,0xFF,0xAC
10.5586293750,91,0xC0,0xAC
10.5586359687,91,0x00,0x2C
10.5586480937,92,0x08,0xAC
10.5586547187,92,0x02,0xAC
10.5586613437,92,0x01,0xAC
